Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4, C5, C6, C7, C8, C9",D_0603_1608Metric,10,0.1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D5, D6, D7, D8, D9",D_SMF,48,DO-219AB,
"J1, J2",IDC-Header_2x08_P2.54mm_Horizontal,2,Conn_01x16,
J3,IDC-Header_2x08_P2.54mm_Vertical,1,Conn_01x16,
J4,"TerminalBlock_Phoenix_MKDS-1,5-16_1x16_P5.00mm_Horizontal",1,Screw_Terminal_01x16,
"K1, K10, K11, K12, K13, K14, K15, K16, K17, K18, K19, K2, K20, K21, K22, K23, K24, K25, K26, K27, K28, K29, K3, K30, K31, K32, K33, K34, K35, K36, K37, K38, K39, K4, K40, K41, K42, K43, K44, K45, K46, K47, K48, K5, K6, K7, K8, K9",Relay_2P2T_10x6mm_TE_IMxxG,48,AGQ200S12Z,
"U1, U2, U3, U4, U5, U6, U7, U8",TSSOP-16_4.4x5mm_P0.65mm,8,TPIC6C596,
"U10, U9",VSSOP-8_2.3x2mm_P0.5mm,2,SN74LVC3G34DCUR,
